|param|mean|delimiter
0|stressed_first_v_W|0.09399943342776217|0.12
1|c_in_the_end_W|0.32154164305948996|0.29710000000000003
2|c_in_the_beginning_W|0.7007772662889512|0.4026
3|two_syl_open_syls_W|0.11631196883852689|0.13269999999999998
4|three_syl_open_syls_W|0.08464468838526909|0.11649999999999999
5|one_syl_W|0.1961786118980168|0.2435
6|two_syl_W|0.28415941926345645|0.2335
7|one_syl_cvc_W|0.030311402266288975|0.0716
8|one_syl_begin_cc_W|0.035954815864022605|0.08729999999999999
9|two_syl_begin_cc_W|0.0803029036827196|0.1526
10|two_syl_1th_stressed_W|0.1654108356940511|0.2081
11|three_syl_2nd_stressed_W|0.110125283286119|0.1549
12|two_syl_2nd_stressed_W|0.11875021246458937|0.1582
13|three_syl_1th_stressed_W|0.06462655807365429|0.1005
14|three_syl_cv_pattern_W|0.058292988668555146|0.1093
15|four_syl_cv_pattern_W|0.016395679886685548|0.0525
16|nom_W|0.17533116147308797|0.3222
17|acc_W|0.10371317280453267|0.14730000000000001
18|dat_W|0.01721572237960341|0.0567
19|abl_W|0.06060871104815868|0.1256
20|sent_simple_S|0.7573274787535411|0.6702
21|sent_two_homogen_S|0.03145332861189795|0.2299
22|sent_three_homogen_S|0.21488562322946098|0.49239999999999995
23|no_predic_S|0.06570120396600569|0.2576
24|sent_complic_soch_S|0.5360192634560906|1.2321
25|verbs_pers_S|0.3616212464589235|0.8457
26|parenth_S|0.024763456090651507|0.3284
27|one_syl_end_cc_W|0.016743342776203943|0.0748
28|two_syl_middle_cc_W|0.12625325779036828|0.1601
29|three_syl_begin_cc_W|0.04677592067988668|0.1175
30|three_syl_middle_cc_W|0.12098739376770533|0.1624
31|three_syl_end_cc_W|0.016534844192634554|0.1015
32|four_syl_cc_on_the_edge_W|0.05160998583569402|0.111
33|five_syl_cv_pattern_W|0.0021288243626062255|0.0283
34|adv_W|0.19932620396600542|0.5865
35|gen_W|0.14200099150141643|0.2236
36|ins_W|0.03539936260623233|0.11309999999999999
37|numeral_W|0.011991501416430598|0.0796
38|a_pro_W|0.7311860481586401|2.7742999999999998
39|coord_conjs_num_S|0.09735368271954677|0.8398
40|sent_complic_depend_S|0.3081746458923511|1.0110000000000001
41|inverse_S|0.1290075779036829|0.4473
42|s_pro_S|0.2592754957507081|0.5794
43|three_syl_3rd_stressed_W|0.0479262747875353|0.1003
44|three_syl_cc_on_the_edge_W|0.08277103399433433|0.1376
45|five_syl_cc_on_the_edge_W|0.03427606232294619|0.125
46|rare_obsol_W|0.004559277620396602|0.1097
47|alt_conjs_num_S|0.06489822946175648|0.4
48|particip_clause_S|0.021658286118980158|0.1538
49|avg_W_freq_S|2988.1067767705335|3315.6249
50|avg_W_Rs_S|88.11490679886693|22.5548
51|avg_W_Ds_S|85.78900375354114|20.829300000000018
52|avg_W_Docs_S|9269.278046317268|6710.423
53|oov_words_rate_S|0.07619036827195466|0.2394
54|N_top_200_rate_S|0.26384624645892346|0.4733
55|N_top_400_rate_S|0.38089865439093484|0.5850000000000001
56|N_top_600_rate_S|0.45658569405099186|0.5991
57|N_top_800_rate_S|0.502031090651558|0.5911000000000001
58|N_top_1000_rate_S|0.555795963172805|0.5683
59|V_top_200_rate_S|0.044768555240793255|0.1677
60|V_top_400_rate_S|0.06744178470254948|0.2716
61|V_top_600_rate_S|0.07346763456090635|0.2781
62|V_top_800_rate_S|0.08236834277620379|0.2971
63|V_top_1000_rate_S|0.08951664305948993|0.321
64|A_top_200_rate_S|0.42302691218130295|0.7291000000000001
65|A_top_400_rate_S|0.5745953257790385|0.7642
66|A_top_600_rate_S|0.625654532577904|0.7805
67|A_top_800_rate_S|0.6624563739376772|0.766
68|A_top_1000_rate_S|0.6973087818696888|0.7549
69|abstr_nouns_rate_S|0.1471658640226631|0.42169999999999996
70|avg_len_in_chars|5.529685161796723|3.19171676300578
